Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-12-31,84.4765,86.1984,65.3363,70.5701,40603058.788554
2012-01-31,70.5692,90.5491,69.9307,89.0785,35756741.565577
2012-02-29,89.328,97.3092,84.6055,93.9869,27965893.285747
2012-03-31,93.801,98.7055,88.2417,91.3031,36580912.976141
2012-04-30,92.3922,93.9869,84.0952,88.5615,21281039.359922
2012-05-31,88.6905,89.2,73.0575,81.6694,33528166.851995
2012-06-30,81.6704,95.5287,79.183,92.5212,35409975.458941
2012-07-31,92.9671,101.719,86.9061,100.459,43355877.760572
2012-08-31,99.5143,109.905,97.3766,103.01,26269020.925521
2012-09-30,103.877,122.906,103.877,120.912,23260004.65867
2012-10-31,120.363,133.209,119.804,127.499,19464177.0315
2012-11-30,128.857,146.45,127.104,141.693,19123012.284373
2012-12-31,141.144,154.452,139.555,150.668,15374702.753186
2013-01-31,153.836,154.452,144.543,149.801,18088177.211106
2013-02-28,149.464,152.797,139.864,143.282,16570314.705549
2013-03-31,141.144,141.298,120.777,125.111,26809756.691252
2013-04-30,125.428,132.342,107.439,117.349,30322699.048179
2013-05-31,115.683,119.853,109.414,117.589,19984123.17592
2013-06-30,117.349,124.321,92.3739,95.9514,36860291.425646
2013-07-31,97.9255,104.233,92.164,95.701,25212573.784385
2013-08-31,96.558,113.67,96.3848,105.697,23583242.770797
2013-09-30,108.028,111.956,100.227,106.313,22891495.640395
2013-10-31,106.216,108.114,100.911,107.382,26690240.252893
2013-11-30,107.517,108.47,97.5018,102.124,19217911.401912
2013-12-31,102.076,102.076,95.0991,101.729,18719020.720115
2014-01-31,102.422,102.942,90.1802,94.4029,19547635.626663
2014-02-28,93.9773,101.267,87.4242,100.795,22718361.294086
2014-03-31,97.6847,105.447,85.0967,93.8849,33766899.618796
2014-04-30,93.9773,101.084,90.1003,94.3653,24226811.355708
2014-05-31,95.2234,102.345,94.4029,99.9289,18527449.863478
2014-06-30,100.612,109.848,99.7841,107.304,19045306.661341
2014-07-31,107.767,118.918,106.13,115.202,18121142.572171
2014-08-31,115.779,125.245,113.189,118.292,16027074.216211
2014-09-30,119.689,123.81,110.204,113.525,21963495.544176
2014-10-31,113.525,117.926,108.605,116.588,22169926.514748
2014-11-30,116.135,116.627,109.308,110.3,15121934.395893
2014-12-31,109.453,109.453,94.9614,97.6943,19406272.432402
2015-01-31,97.8292,102.316,88.9957,94.5541,23711791.583091
2015-02-28,95.2234,110.666,95.1281,108.605,20522973.129848
2015-03-31,108.605,110.03,101.69,107.7,17483573.070293
2015-04-30,107.257,113.487,104.281,113.487,16132655.793013
2015-05-31,113.709,117.888,106.805,106.805,16128217.489243
2015-06-30,106.977,110.079,97.4247,98.7729,18229461.483727
2015-07-31,99.1969,99.6204,78.3558,88.0723,26874285.515842
2015-08-31,87.144,89.7401,64.1537,72.8033,22882160.041215
2015-09-30,71.7921,83.891,67.1207,75.9734,23836192.855548
2015-10-31,77.3177,92.7071,72.4229,83.3065,26523425.868387
2015-11-30,83.6686,88.9621,66.4717,67.0283,22518229.516465
2015-12-31,68.1396,68.7703,52.7039,58.8592,24786383.432177
2016-01-31,55.6247,56.6435,47.2813,53.3068,21956429.98057
2016-02-29,52.8436,64.7374,51.7304,62.9847,30955536.367025
2016-03-31,63.1619,73.5168,61.2889,70.5508,32564888.78299
2016-04-30,70.2725,72.4229,61.7714,68.9368,24926170.270536
2016-05-31,68.854,69.0765,55.9116,55.9116,23095635.80654
2016-06-30,55.4946,61.3718,51.7034,61.1868,24505034.018574
2016-07-31,61.651,76.3345,60.9085,74.3469,30118034.46851
2016-08-31,74.8101,75.9464,67.9576,69.3298,19214238.430355
2016-09-30,70.2301,74.839,65.2602,70.5133,18606481.577739
2016-10-31,70.5133,71.4512,63.992,67.2758,14332021.20746
2016-11-30,66.9455,86.1309,64.6834,82.6854,29170640.417865
2016-12-31,83.9343,93.4842,80.4523,87.532,22925113.143428
2017-01-31,87.532,119.728,86.7087,117.272,30272806.033918
2017-02-28,118.736,128.722,116.231,122.096,21940205.353029
2017-03-31,124.513,125.313,109.366,109.607,22406770.354417
2017-04-30,111.302,122.568,109.982,116.511,13552213.10419
2017-05-31,116.983,117.599,99.8992,100.044,17269885.462672
2017-06-30,100.333,108.662,99.5242,104.725,14293918.670739
2017-07-31,105.254,119.939,101.373,116.781,15693160.91392
2017-08-31,117.118,122.462,112.678,120.411,14752336.051307
2017-09-30,120.844,126.285,107.527,112.11,14344137.755984
2017-10-31,112.486,121.605,109.241,117.407,13924862.393202
2017-11-30,117.599,120.132,100.555,101.98,14147103.652708
2017-12-31,102.173,107.998,95.2522,106.188,15385179.600808
2018-01-31,106.38,110.723,101.845,105.09,10466044.704225
2018-02-28,105.514,107.902,96.4907,100.265,11113018.342496
2018-03-31,100.265,101.893,78.532,82.905,16724441.398088
2018-04-30,83.1341,93.3706,81.3583,89.4176,13648639.770828
2018-05-31,90.0483,94.4212,80.8239,80.9,14199893.921888
2018-06-30,81.0906,93.9628,79.8494,84.0316,13497275.335666
2018-07-31,83.7649,93.3706,83.7649,92.1486,13108745.143621
2018-08-31,91.748,92.1871,79.2764,86.7058,12262352.099369
2018-09-30,86.4188,89.4753,78.0158,85.0822,16111124.723669
2018-10-31,85.1968,87.221,77.4429,82.9627,12149769.342403
2018-11-30,85.8651,93.543,82.9242,85.6745,12409519.149449
2018-12-31,87.8517,90.3344,81.9313,84.8723,9779408.7884133
2019-01-31,84.0316,90.6213,82.2366,89.9145,11449012.683804
2019-02-28,89.6082,98.59,88.3294,96.7314,16091119.126538
2019-03-31,97.3573,102.942,94.0774,102.173,13096006.567966
2019-04-30,103.126,107.43,97.6847,98.2144,9178872.2273545
2019-05-31,96.2114,97.444,87.3741,90.7166,11509817.653148
2019-06-30,90.7166,101.122,88.3476,98.8307,9718289.170955
2019-07-31,100.747,101.893,88.9977,90.1436,12207668.749287
2019-08-31,90.0098,90.0098,69.1352,74.7889,16146937.494406
2019-09-30,74.865,80.6323,69.9182,76.3922,14272630.596969
2019-10-31,75.801,82.9819,70.1859,79.8686,12385282.937072
2019-11-30,81.473,92.5684,81.2823,85.8458,13514329.678863
2019-12-31,85.9422,94.3258,82.7336,91.2703,9817963.0476751
2020-01-31,92.2063,96.9721,86.6297,87.0881,12222422.942074
