Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-12-31,8.3,8.3,8.3,8.3
2017-01-31,8.6,8.6,8.6,8.6
2017-02-28,8.5,8.5,8.5,8.5
2017-03-31,7.7,7.7,7.7,7.7
2017-05-31,7.4,7.4,7.4,7.4
2017-06-30,7.1,7.1,7.1,7.1
2017-07-31,7,7,7,7
2017-09-30,6.8,6.8,6.8,6.8
2017-10-31,6.6,6.6,6.6,6.6
2017-11-30,6.5,6.5,6.5,6.5
2017-12-31,6.6,6.6,6.6,6.6
2018-01-31,6.8,6.8,6.8,6.8
2018-02-28,6.6,6.6,6.6,6.6
2018-03-31,6.3,6.3,6.3,6.3
2018-04-30,6.1,6.1,6.1,6.1
2018-05-31,5.9,5.9,5.9,5.9
2018-06-30,5.9,5.9,5.9,5.9
2018-07-31,5.8,5.8,5.8,5.8
2018-08-31,5.7,5.7,5.7,5.7
2018-09-30,5.7,5.7,5.7,5.7
2018-10-31,5.7,5.7,5.7,5.7
2018-11-30,5.7,5.7,5.7,5.7
2018-12-31,5.8,5.8,5.8,5.8
2019-01-31,6.1,6.1,6.1,6.1
2019-02-28,6.1,6.1,6.1,6.1
2019-03-31,5.9,5.9,5.9,5.9
2019-04-30,5.6,5.6,5.6,5.6
2019-05-31,5.4,5.4,5.4,5.4
2019-06-30,5.3,5.3,5.3,5.3
2019-07-31,5.2,5.2,5.2,5.2
2019-08-31,5.2,5.2,5.2,5.2
2019-09-30,5.1,5.1,5.1,5.1
2019-10-31,5,5,5,5
2019-11-30,5.1,5.1,5.1,5.1
2019-12-31,5.2,5.2,5.2,5.2
2020-01-31,5.5,5.5,5.5,5.5
